event	event_label	time	line_id	landmark_label	landmark_type	relatum_label	relatum_type	relation_type	change_type	change_on	attribute_type	outdates	makes_effective
13	boulevard de courcelles || Ouverture || Ordonnance du Bureau des finances du 16 janvier 1789	1789-01-16	10063_ouverture	Boulevard de Courcelles	boulevard				transition	attribute	geometry
49	rue de dreux || Historique || Précédemment, partie de la rue de Chartres		10343_historique_5	Rue de Chartres	rue				transition	attribute	geometry
96	rue eugène oudiné || Historique || Précédemment, rue Watt prolongée		10605_historique	Rue Eugène Oudiné	rue				transition	attribute	name	rue Watt prolongée	rue de Rigny
96	rue eugène oudiné || Historique || Précédemment, rue Watt prolongée		10605_historique	Rue Watt prolongée	rue				transition	attribute	name	rue Watt prolongée	rue de Rigny
173	villa de guelma || Historique || Précédemment, impasse de Guelma (arr du 1er février 1877),	1877-02	11150_historique	Impasse de Guelma	impasse				transition	attribute	name	impasse de Guelma	villa de Guelma
217	avenue junot || Historique || Précédemment rue Junot (arr du 26 décembre 1893)	1893-12-26	11598_historique	Avenue Junot	avenue				transition	attribute	name	rue Junot	avenue Junot
226	rue laurent-pichat || Historique || Précédemment, partie de la rue Leroux		11717_historique_1	Rue Leroux	rue				transition	attribute	geometry
359	boulevard du palais || Historique || Précédemment, partie du boulevard de Sébastopol		12600_historique_1	Boulevard de Sébastopol	boulevard				transition	attribute	geometry
425	place pigalle || Ouverture || Ordonnance du Bureau des Finances du 16 janvier 1789	1789-01-16	12880_ouverture	Place Pigalle	place				transition	attribute	geometry
571	rue saint-hyacinthe || Historique || Précédemment, rue Saint-Hyacinthe-Saint-Honoré		13608_historique_1	Rue Saint-Hyacinthe	rue				transition	attribute	name	rue Saint-Hyacinthe-Saint-Honoré	rue Rémy de Gourmont
571	rue saint-hyacinthe || Historique || Précédemment, rue Saint-Hyacinthe-Saint-Honoré		13608_historique_1	Rue Saint-Hyacinthe-Saint-Honoré	rue				transition	attribute	name	rue Saint-Hyacinthe-Saint-Honoré	rue Rémy de Gourmont
650	rue visconti || Historique || Précédemment rue des Marais Saint-Germain		14101_historique_1	Rue Visconti	rue				transition	attribute	name	rue des Marais Saint-Germain	rue Visconti
694	villa alexandre tansman || Historique || Précédemment, voie H/16		14773_historique	Villa Alexandre Tansman	villa				transition	attribute	name	voie H/16	rue du Gabon
694	villa alexandre tansman || Historique || Précédemment, voie H/16		14773_historique	Voie H/16	voie				transition	attribute	name	voie H/16	rue du Gabon
756	rue catherine de la rochefoucauld || Historique || Précédemment rue de La Rochefoucauld dénommée en 1790	1790	15369_historique_1	Rue Catherine de la Rochefoucauld	rue				transition	attribute	name	rue de La Rochefoucauld	rue Catherine de la Rochefoucauld
771	rue abel hovelacque || Historique || Précédemment rue de Gentilly (décision ministérielle du 14 septembre 1829)	1829-09-14	8784_historique_1	Rue de Gentilly	rue				transition	attribute	name	rue de Gentilly	rue Abel Hovelacque
838	rue arsène houssaye || Historique || Précédemment rue du Bel Respiro		9064_historique_1	Rue Arsène Houssaye	rue				transition	attribute	name	rue du Bel Respiro	rue Arsène Houssaye
858	rue auguste vacquerie || Historique || Précédemment rue des Bassins		9120_historique_1	Rue Auguste Vacquerie	rue				transition	attribute	name	rue des Bassins	rue Auguste Vacquerie
872	impasse baudricourt || Historique || Précédemment, cité Ravel		9208_historique	Impasse Baudricourt	impasse				transition	attribute	name	cité Ravel	impasse Baudricourt
884	boulevard de belleville || Ouverture || Ordonnance du Bureau des Finances du 16 janvier 1789	1789-01-16	9260_ouverture	Boulevard de Belleville	boulevard				transition	attribute	geometry
888	rue de la bidassoa || Historique || Précédemment rue Latérale (partie B)		9330_historique_2	Rue de la Bidassoa	rue				transition	attribute	name		rue de la bidassoa
888	rue de la bidassoa || Historique || Précédemment rue Latérale (partie B)		9330_historique_2	Rue Latérale	rue				transition	attribute	name		rue de la bidassoa
902	rue bonnet || Historique || Précédemment, rue des Vignes		9390_historique_3	Rue Bonnet	rue				transition	attribute	name	rue des Vignes	rue du Cange
989	rue du commandeur || Historique || Précédemment, avenue du Commandeur		9991_historique	Rue du Commandeur	rue				transition	attribute	name	avenue du Commandeur	rue du Commandeur
22	rue du dahomey || Historique || puis, impasse Saint-Bernard, cul-de-sac Sainte-Marguerite, passage Saint-Bernard		10125_historique_2	Rue du Dahomey	rue
26	rue dareau || Historique || Précédemment partie de la rue des Catacombes		10158_historique_1	Rue Dareau	rue
74	rue erckmann-chatrian || Historique || plus anciennement, passage Lacoste		10541_historique_2	Rue Erckmann-Chatrian	rue
112	rue du fouarre || Historique || Plus tard, rue du Feurre ou du Fouarre		10772_historique_3	Rue du Fouarre	rue
196	rue jean-baptiste sémanaz || Historique || Tronçon du chemin vicinal ordinaire n° 4 situé autrefois sur le territoire du Pré-Saint-Gervais annexé à Paris par décret du 27 juillet 1930	1930-07-27	11433_historique	Rue Jean-Baptiste Sémanaz	rue
211	rue julia bartet || Historique || Située sur l'ancien territoire de Malakoff annexé à Paris par décret du 3 avril 1925	1925-04-03	11592_historique_2	Rue Julia Bartet	rue
